siRNA ID,Catalog Number,Gene Symbol,Gene Name,Alias,RefSeq,GenBank mRNA,Product Family,siRNA Type,Availability,siRNA Assay,Matched Keywords
s19854,4392420,ALYREF,Aly/REF export factor,ALY;ALY/REF;BEF;REF;THOC4,NM_005782.3,AF086513.1;BC052302.1,,Silencer® Select,Inventoried,,s19854
s20056,4392420,IRX5,iroquois homeobox 5,HMMS;IRX-2a;IRXB2,NM_005853.5;NM_001252197.1;XM_011522809.1,U90304.1;BC131510.1;AY335945.1,,Silencer® Select,Inventoried,,s20056
s20097,4392420,CWC27,CWC27 spliceosome associated protein homolog,NY-CO-10;SDCCAG-10;SDCCAG10,XM_017008943.1;NM_001318000.1;NM_001297645.1;XM_011543095.2;NM_001297644.1;NM_005869.3;XM_011543096.1,BC012117.1;AK312954.1;AF039692.1;AK225105.1;BX647971.1;AY358569.1;AK225161.1;AK308223.1,,Silencer® Select,Inventoried,,s20097
s20985,4392420,RRAGA,Ras related GTP binding A,FIP-1;FIP1;RAGA,NM_006570.4,X90529.1;BC006433.1;BC009990.2;BX442654.2;U41654.1;AK313023.1,,Silencer® Select,Inventoried,,s20985
s20734,4392420,AKAP3,A-kinase anchoring protein 3,AKAP 110;AKAP110;CT82;FSP95;HEL159;PRKA3;SOB1,NM_001278309.1;XM_011520910.2;XM_011520909.1;NM_006422.3;XM_011520908.1;XM_005253664.2,AF087003.1;AF093408.1;BC047535.1;AK292451.1;AK074722.1;EU794681.1;U85715.1,,Silencer® Select,Inventoried,,s20734
s20444,4390824,ACAA2,acetyl-CoA acyltransferase 2,DSAEC,NM_006111.2,AK314462.1;BC001918.1;AK054673.1;AK225457.1;D16294.1,,Silencer® Select,Inventoried,,s20444
s21276,4392420,ALDH1L1,aldehyde dehydrogenase 1 family member L1,10-FTHFDH;10-fTHF;FDH;FTHFD,NM_001270364.1;NM_012190.3;XM_017005614.1;NR_072979.1;XM_017005613.1;XM_006713481.2;XM_011512355.1,AK307699.1;AF052732.1;BI829048.1;AK222535.1;KU178540.1;KU178541.1;AK222694.1;KU178542.1;AL133015.1;AK294530.1;CR749807.1;BC027241.1;KM111188.1;AK308112.1;AB209299.1,,Silencer® Select,Inventoried,,s21276
s20747,4390824,SIVA1,SIVA1 apoptosis inducing factor,CD27BP;SIVA;Siva-1;Siva-2,XM_011536360.2;NM_006427.3;NM_021709.2,AK124078.1;AK223332.1;AK128704.1;BC034562.1,,Silencer® Select,Inventoried,,s20747
s9,4390824,AGPAT1;PPT2-EGFL8,PPT2-EGFL8 readthrough (NMD candidate);1-acylglycerol-3-phosphate O-acyltransferase 1,1-AGPAT1;G15;LPAAT-alpha;LPAATA,XM_011514234.1;NM_032741.4;XM_005248806.2;NM_006411.3;XM_005248805.3,AK315950.1;AK056346.1;BC003007.1;U75971.1;AB209572.1;U56417.1;BC002402.2;AK129818.1;AK058025.1;BC090849.1;BC004310.1;AF007145.1;Y09565.1;AF218034.1;AK299252.1,,Silencer® Select,Inventoried,,s9
s12296,4392420,RPS9,ribosomal protein S9,S9,NR_135763.1;NR_135762.1;XM_017027112.1;NM_001321701.1;NM_001321702.1;NM_001321704.1;NM_001321706.1;NM_001013.3,BC096756.1;BC007410.2;BG911482.1;BG753945.1;BQ069656.1;CD389050.1;BC007434.2;BC071941.1;BC007857.2;BC096822.1;U14971.1;BC068055.1;BC000802.1;BM313608.1;BC071940.1;AK095055.1,,Silencer® Select,Inventoried,,s9
s11414,4392420,PSMD11,"proteasome 26S subunit, non-ATPase 11",Rpn6;S9;p44.5,NM_001270482.1;NM_002815.3,AB003102.1;AK290602.1;BC000437.2;AK223196.1;AK093602.1;BC004430.1;AF001212.1,,Silencer® Select,Inventoried,,s9
s12295,4392420,RPS9,ribosomal protein S9,S9,NR_135763.1;NR_135762.1;NM_001321701.1;NM_001321702.1;NM_001321704.1;NM_001321705.1;NM_001013.3,BC096756.1;BG911482.1;BC007410.2;BQ069656.1;BG753945.1;CD389050.1;BC007434.2;BC071941.1;BC141920.1;BC007857.2;BC096822.1;U14971.1;BC068055.1;AW163829.1;BC000802.1;BM313608.1;BC071940.1,,Silencer® Select,Inventoried,,s9
s11413,4392420,PSMD11,"proteasome 26S subunit, non-ATPase 11",Rpn6;S9;p44.5,NM_001270482.1;NM_002815.3,AB003102.1;AK290602.1;BC000437.2;AK223196.1;AK300342.1;BC004430.1;AF001212.1,,Silencer® Select,Inventoried,,s9
s12294,4392420,RPS9,ribosomal protein S9,S9,NR_135763.1;NR_135762.1;NM_001321701.1;NM_001321702.1;NM_001321704.1;NM_001321705.1;NM_001013.3,BC096756.1;BC007410.2;BG911482.1;BQ069656.1;BG753945.1;CD389050.1;BC007434.2;BC071941.1;BC141920.1;BC007857.2;BC096822.1;U14971.1;BC068055.1;AW163829.1;BM313608.1;BC000802.1;BC071940.1,,Silencer® Select,Inventoried,,s9
s11415,4392420,PSMD11,"proteasome 26S subunit, non-ATPase 11",Rpn6;S9;p44.5,NM_001270482.1;NM_002815.3,AB003102.1;AK290602.1;AK223196.1;BC000437.2;AK093602.1;BC004430.1;AF001212.1,,Silencer® Select,Inventoried,,s9
s87417,4390771,Psmd11,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 11",1700089D09Rik;1810019E17Rik;2610024G20Rik;2810055C24Rik;C78232;P44.5;S9,NM_178616.3,AK136049.1;AK051738.1;AK167559.1;BC055457.1;AK140773.1;BC030432.1;BC119138.1;AK192313.1;AK168289.1;AK029365.1;BC037590.1;BC119136.1;BC090664.1;AK012951.1;AK089942.1;BC100595.1;BC090980.1;AK076002.1;AK007547.1,,Silencer® Select,Made to Order,,s9
s87415,4390771,Psmd11,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 11",1700089D09Rik;1810019E17Rik;2610024G20Rik;2810055C24Rik;C78232;P44.5;S9,NM_178616.3,AK136049.1;AK051738.1;BC055457.1;AK167559.1;AK140773.1;BC119138.1;AK168289.1;BC037590.1;BY092952.1;BC119136.1;BC090664.1;AK012951.1;BC100595.1;AK089942.1;BC090980.1;AK007547.1;AK076002.1,,Silencer® Select,Made to Order,,s9
s87416,4390771,Psmd11,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 11",1700089D09Rik;1810019E17Rik;2610024G20Rik;2810055C24Rik;C78232;P44.5;S9,NM_178616.3,AK136049.1;AK051738.1;AK167559.1;BC055457.1;AK140773.1;BC030432.1;BC119138.1;AK168289.1;BC037590.1;AK029365.1;BC119136.1;BC090664.1;AK012951.1;BC100595.1;AK089942.1;BC090980.1;AK007547.1;AK076002.1,,Silencer® Select,Made to Order,,s9
s21456,4390824,PAPOLA,poly(A) polymerase alpha,PAP,NM_001252006.1;NM_001293628.1;NM_001293627.1;XM_005267282.2;XM_005267281.1;NM_001252007.1;NM_032632.4;XM_017020935.1;XM_017020936.1,BX161482.1;AK295020.1;AK057629.1;BX248753.1;BC000927.1;BC036014.1;AK302406.1;BX248301.1;DB045100.1;X76770.1,,Silencer® Select,Inventoried,,s21456
s223181,4392420,TDRKH,tudor and KH domain containing,TDRD2,XM_017000130.1;NM_006862.3;NM_001083964.1;NM_001083963.1;XM_017000122.1;XM_017000123.1;XM_017000124.1;XM_017000125.1;NM_001083965.1;XM_005244856.4;XM_017000126.1;XM_017000127.1;XM_017000128.1;XM_017000129.1,AF227192.1;AK303063.1;AF119121.2;AK226092.1;AK295948.1;AK056402.1;AK225160.1;BC032690.1,,Silencer® Select,Inventoried,,s223181
s20391,4392420,ARIH2,ariadne RBR E3 ubiquitin protein ligase 2,ARI2;TRIAD1,XM_017005532.1;XM_011533275.2;XM_017005531.1;XM_011533276.1;XM_017005536.1;XM_017005535.1;XM_017005534.1;XM_017005533.1;XM_017005541.1;XM_011533267.1;NM_001317333.1;XM_017005540.1;XM_011533268.1;XM_017005539.1;NM_001317334.1;XM_011533266.1;XM_011533271.1;NM_006321.3;XM_011533273.1;XM_017005537.1;XM_011533265.1;XM_017005538.1;XM_011533270.1,CR456785.1;AB208857.1;AK091240.1;AK223550.1;AF099149.1;AJ130978.1;BC000422.2;AK313434.1;AF183427.1;AK307694.1,,Silencer® Select,Inventoried,,s20391
s21655,4392420,SLC27A4,solute carrier family 27 member 4,ACSVL4;FATP4;IPS,NM_005094.3;XM_017014222.1,AK074831.1;AF055899.1;AK290222.1;BC065003.1;BC004268.1;AK027504.1;AK314681.1,,Silencer® Select,Inventoried,,s21655
s20627,4392420,CHERP,calcium homeostasis endoplasmic reticulum protein,DAN16;SCAF6;SRA1,NM_006387.5,BC021294.2;U94836.2;AK296883.1;AF536542.1;AB209730.1;AK298408.1,,Silencer® Select,Inventoried,,s20627
s20138,4392420,MARCH6,membrane associated ring-CH-type finger 6,DOA10;MARCH-VI;RNF176;TEB4,XM_011513937.2;NM_005885.3;XM_011513936.2;XM_011513934.1;NM_001270661.1;NM_001270660.1;XM_011513932.2,BC142679.1;BC136462.1;AB011169.1;AK314686.1;AK300034.1;BC142694.1;AK296585.1;BC046148.1;AF009301.1;BC136461.1,,Silencer® Select,Inventoried,,s20138
s20946,4392420,DMRT2,doublesex and mab-3 related transcription factor 2,,XM_011517690.2;XM_011517687.1;NM_006557.6;XM_017014215.1;XM_017014214.1;XM_017014216.1;NM_181872.4;XM_011517694.2;NM_001130865.2;XM_017014213.1,BC030204.1;BX107686.1;BX647565.1;AF284225.1;AF284223.1;AF284224.1;AK290794.1;BC136493.1,,Silencer® Select,Inventoried,,s20946
s20403,4392420,TMEM147,transmembrane protein 147,NIFIE14,NM_001242597.1;NM_032635.3;NM_001242598.1,BM765457.1;BG697070.1;BC001118.2;Y18007.1;BM423809.1,,Silencer® Select,Inventoried,,s20403
s20238,4392420,TRIM22,tripartite motif containing 22,GPSTAF50;RNF94;STAF50,NM_001199573.1;NM_006074.4,AK301192.1;HQ842635.1;X82200.1;BC022281.1;AK290434.1;AK298934.1;AM040752.1;BC035582.1;AK298715.1,,Silencer® Select,Inventoried,,s20238
s20231,4392420,CCL26,C-C motif chemokine ligand 26,IMAC;MIP-4a;MIP-4alpha;SCYA26;TSC-1,NM_006072.4;XM_017011671.1;XM_017011672.1,AF142434.1;AF124601.1;BC101665.1;BC069394.1;AY358893.1;AF096296.1;BG211121.1;AB016542.1;BC093773.1;AB010447.1,,Silencer® Select,Inventoried,,s20231
s223144,4392420,KHDRBS1,"KH RNA binding domain containing, signal transduction associated 1",Sam68;p62;p68,NR_073498.1;NR_073499.1;NM_006559.2;NM_001271878.1,BC000717.1;U78971.1;M88108.1;AK303218.1;AK091346.1;BC010132.2;BC019109.2;AK293369.1;AK312916.1,,Silencer® Select,Inventoried,,s223144
s20915,4392420,NPRL2,"NPR2-like, GATOR1 complex subunit",NPR2;NPR2L;TUSC4,XM_011533288.2;NM_006545.4;XM_017005556.1;XM_005264808.4;XM_017005555.1,AK098161.1;BC021984.1;AK292196.1;AF040707.1;AF040708.1;BC056861.1;AL833426.1;AK309658.1,,Silencer® Select,Inventoried,,s20915
s21308,4392420,RUVBL2,RuvB like AAA ATPase 2,CGI-46;ECP-51;ECP51;INO80J;REPTIN;RVB2;TAP54-beta;TIH2;TIP48;TIP49B,NM_001321191.1;NM_001321190.1;NM_006666.2;XM_011526330.1;NR_135578.1,BC008355.1;AF124607.1;AB024301.1;Y18417.1;AK057498.1;BC000428.2;AK027762.1;AF151804.1;AK301344.1;CR533507.1;BC004531.2;AL136743.1;AK074542.1;AF155138.1,,Silencer® Select,Inventoried,,s21308
s19782,4392420,RASA4;RASA4B,RAS p21 protein activator 4;RAS p21 protein activator 4B,CAPRI;GAPL,XM_011515690.1;XM_017011662.1;XM_017011627.1;NM_006989.5;NM_001079877.2;XM_011515723.1;XM_005250084.2;XM_017011661.1;XM_017011626.1;NM_001277335.1,BC143585.1;AB011110.2;BC113663.1;AK315928.1;BC143584.1;DA841834.1;BC110873.1;AK026441.1;AK308653.1,,Silencer® Select,Inventoried,,s19782
s21439,4392420,TXNL4A,thioredoxin like 4A,BMKS;DIB1;DIM1;SNRNP15;TXNL4;U5-15kD,NM_006701.4;NR_131176.1,AF023612.1;AF023611.1;AF146373.1;BC019272.1;BF972457.1;AK314901.1;BC001046.2;BE385528.1;BU553165.1,,Silencer® Select,Inventoried,,s21439
s20717,4390824,SLC19A2,solute carrier family 19 member 2,TC1;THMD1;THT1;THTR1;TRMA,NM_006996.2,AF160812.1;AJ237724.1;AF135488.1;AF272359.1;AK316465.1;AK304021.1;AF153330.1;AK313779.1;KU178535.1,,Silencer® Select,Inventoried,,s20717
s20777,4392420,POMT1,protein O-mannosyltransferase 1,LGMD2K;MDDGA1;MDDGB1;MDDGC1;RT,XM_017014204.1;XM_017014205.1;XM_017014203.1;XM_005272158.1;XM_005272159.1;XM_005272156.1;XM_005272162.2;NM_001136113.1;NM_007171.3;NM_001136114.1;XM_006716932.1;NM_001077365.1;NM_001077366.1,BC065268.1;AK293529.1;AB209430.1;AK301486.1;AK315218.1;AK307876.1;BC022877.2;AK074888.1;AK300393.1;AK295561.1;AF095136.1;AK074874.1,,Silencer® Select,Inventoried,,s20777
s20830,4392420,ST6GALNAC2,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",SAITL1;SIAT7;SIAT7B;SIATL1;ST6GalNAII;STHM,NM_006456.2;XM_005256954.3,U14550.1;AJ251053.1;AK225943.1;BT019972.1;BC040455.1,,Silencer® Select,Inventoried,,s20830
s19901,4392420,PATJ,"PATJ, crumbs cell polarity complex component",Cipp;INADL;InaD-like;hINADL,XM_011540465.2;XM_011540467.2;XM_011540466.2;XM_011540462.2;XM_011540464.2;XM_011540463.2;NM_176877.2;XM_005270341.3;XM_016999998.1;XM_016999999.1;XM_017000000.1;XM_017000001.1,BC021135.1;AK308665.1;AF397170.1;AK293519.1;AB044807.1,,Silencer® Select,Inventoried,,s19901
s20919,4392420,IGF2BP3,insulin like growth factor 2 mRNA binding protein 3,CT98;IMP-3;IMP3;KOC;KOC1;VICKZ3,XM_006715639.2;XM_011515093.2;XM_011515092.2;XM_011515091.2;XM_011515090.2;XM_011515089.2;NM_006547.2,U76705.1;AF117108.1;U97188.1;BX640800.1;BC065269.1;BX648488.1,,Silencer® Select,Inventoried,,s20919
s21424,4392420,BRD8,bromodomain containing 8,SMAP;SMAP2;p120,XM_017008973.1;XM_005271856.2;XM_017008972.1;XM_017008971.1;XM_017008970.1;XM_017008969.1;XM_011543110.1;NM_139199.1;XM_005271861.3;NM_006696.3;XM_005271855.2;NM_001300962.1;NM_001300961.1;XM_005271859.3;XM_005271857.2;NM_001164326.1;XM_011543109.1;NM_001300966.1;XM_005271860.3;XM_017008976.1;XM_017008975.1;XM_017008974.1,AL136823.1;BC008076.2;AK297608.1;AK312333.1;AK293621.1;X87613.1;X94234.1;AB209079.1;AK297756.1;AF016270.1;AK289951.1;BC008039.2,,Silencer® Select,Inventoried,,s21424
s21694,4392420,ATF7,activating transcription factor 7,ATFA,XM_017018722.1;NR_073163.1;XM_005268587.3;NM_001130060.1;NM_006856.2,BC136302.1;AK310355.1;AK298853.1;AK313507.1;X57197.1;X52943.1,,Silencer® Select,Inventoried,,s21694
s20192,4392420,RRAGB,Ras related GTP binding B,RAGB;bA465E19.1,NM_016656.3;NM_006064.4;XM_017029218.1;XM_017029217.1;XM_005261973.4,X90530.1;AK289407.1;AL831926.1;BC034726.1,,Silencer® Select,Inventoried,,s20192
s20080,4392420,EFS,embryonal Fyn-associated substrate,CAS3;CASS3;EFS1;EFS2;HEFS;SIN,NM_032459.2;NM_005864.3;XM_005267256.1,BC046403.1;AB001466.1;AB001467.1;BC034246.1;AK314221.1,,Silencer® Select,Inventoried,,s20080
s21366,4392420,ACTL7B,actin like 7B,Tact1,NM_006686.3,BC033789.1;AK313871.1;DB021848.1,,Silencer® Select,Inventoried,,s21366
s21733,4392420,RAB31,"RAB31, member RAS oncogene family",Rab22B,XM_017025528.1;NM_006868.3;XM_017025529.1,BC001148.1;AK223505.1;AF183421.1;AK314809.1;U57091.1;CR407659.1;BU944638.1;BT020028.1;U59877.1;BT020027.1;AF498957.1;AF234995.1,,Silencer® Select,Inventoried,,s21733
s20794,4392420,SMC2,structural maintenance of chromosomes 2,CAP-E;CAPE;SMC-2;SMC2L1,NM_001042550.1;XM_017014208.1;NM_001042551.1;XM_017014206.1;XM_017014207.1;XM_017014210.1;XM_017014211.1;XM_017014209.1;XM_011518152.2;XM_006716933.3;XM_011518151.2;XM_017014212.1;XM_011518148.2;XM_011518150.2;XM_011518149.2;NM_006444.2;NM_001265602.1;XM_011518153.1,BC130385.1;AF092563.1;AK292599.1;AL833191.1;BC144163.1;AK000955.1;AK001485.1,,Silencer® Select,Inventoried,,s20794
s19957,4392420,MFSD10,major facilitator superfamily domain containing 10,TETRAN;TETTRAN,,L11669.1,,Silencer® Select,Inventoried,,s19957
s20327,4392420,ANAPC10,anaphase promoting complex subunit 10,APC10;DOC1,NM_001256707.1;NM_001256708.1;NM_001256706.1;XM_017007638.1;NM_001256711.1;NM_001256712.1;NM_001318367.1;XM_017007640.1;NM_001256709.1;XM_017007639.1;XM_011531524.2;NM_001256710.1;XM_017007644.1;XM_017007643.1;NM_014885.4;NR_046345.1;XM_011531531.2,CV023091.1;BI913723.1;AB012109.1;BG530912.1;BU175327.1;AV757106.2;AF132794.1;BI488888.1;AL080090.1;BC005217.1,,Silencer® Select,Inventoried,,s20327
s20902,4392420,RGS14,regulator of G-protein signaling 14,,NM_006480.4;XM_005265795.4;XM_005265794.4,AY987041.1;AF037194.1;AF037195.1;BI752372.1;BC014094.2;AF493936.1,,Silencer® Select,Inventoried,,s20902
s1174,4392420,JAG1,jagged 1,AGS;AHD;AWS;CD339;HJ1;JAGL1,NM_000214.2,U61276.1;BC126207.1;AF028593.1;BC126205.1;U73936.1;U77720.1;BC098393.1;AF003837.1;AK312722.1,,Silencer® Select,Inventoried,,s1174
s20860,4392420,POLR3F,RNA polymerase III subunit F,RPC39;RPC6,NR_104209.1;XM_011529141.1;NM_006466.3;NM_001282526.1;XM_017027596.1,AK096684.1;AK223298.1;AK290892.1;BC012588.1;U93869.1;BC016761.1;AK314838.1,,Silencer® Select,Inventoried,,s20860
s21163,4392420,POP4,"POP4 homolog, ribonuclease P/MRP subunit",RPP29,NR_027368.1;NM_006627.2,BC004438.1;AK314790.1;CR536569.1;Y18863.1;BC006098.1;CR936714.1;AF001176.2;AK303791.1,,Silencer® Select,Inventoried,,s21163
s21347,4392420,ME3,malic enzyme 3,NADP-ME,XM_017017137.1;XM_017017136.1;XM_005273717.1;NM_001161586.1;NM_006680.2;NM_001014811.1;XM_017017138.1,AK313695.1;AA403046.1,,Silencer® Select,Inventoried,,s21347
s18582,4392420,IQCB1,IQ motif containing B1,NPHP5;PIQ;SLSN5,XM_017007538.1;XM_017007537.1;XM_017007539.1;NM_001023571.3;XM_005247912.2;XM_005247911.3;NM_001319107.1;NR_134968.1;XM_011513335.2;NM_001023570.3,AB062481.1;D25278.1;AY964667.1;AY714228.1;BC005806.2;AY964668.1,,Silencer® Select,Inventoried,,s18582
s21141,4392420,NES,nestin,Nbla00170,NM_006617.1,BC032580.1;BC142611.1;BC051373.1,,Silencer® Select,Inventoried,,s21141
s21454,4392420,EDAR,ectodysplasin A receptor,DL;ECTD10A;ECTD10B;ED1R;ED3;ED5;EDA-A1R;EDA1R;EDA3;HRM1,XM_011510503.2;XM_006712204.1;NM_022336.3;XM_011510502.2,AF130988.1;BC093872.1;BC093870.1;AK313781.1;AK296936.1;CR749352.1,,Silencer® Select,Inventoried,,s21454
s20496,4392420,TIMM44,translocase of inner mitochondrial membrane 44,TIM44,NM_006351.3,AK289634.1;AK223062.1;AF041254.1;AK309415.1;AF026030.1;BC033628.1,,Silencer® Select,Inventoried,,s20496
s5459,4392420,GAA,"glucosidase alpha, acid",LYAG,NM_001079803.2;NM_001079804.2;NM_000152.4;XM_005257193.2;XM_005257194.4,Y00839.1;BF206270.1;DQ907243.1;AK299462.1;BC040431.1;M34424.1,,Silencer® Select,Inventoried,,s5459
s21620,4392420,RAB32,"RAB32, member RAS oncogene family",,NM_006834.4,U71127.1;BT020016.1;U59878.1;AF498958.1;BC015061.1,,Silencer® Select,Inventoried,,s21620
s19897,4392420,MPZL2,myelin protein zero like 2,EVA;EVA1,NM_144765.2;NM_005797.3,AY359061.1;BC017774.1;AK290326.1;AF275945.1;AF030455.1;AF304447.1,,Silencer® Select,Inventoried,,s19897
s20837,4392420,TRIM3,tripartite motif containing 3,BERP;HAC1;RNF22;RNF97,XM_011519844.1;XM_017017099.1;XM_017017098.1;XM_011519845.2;NM_033278.3;NM_001248006.1;NM_001248007.1;NM_006458.3,AK299586.1;BC096827.1;AK298843.1;AF045239.1;AK126685.1;AF220020.1;AF220021.1;AK291396.1;AF220022.1,,Silencer® Select,Inventoried,,s20837
s501339,4392420,LRP5,LDL receptor related protein 5,BMND1;EVR1;EVR4;HBM;LR3;LRP-5;LRP7;OPPG;OPS;OPTA1;VBCH2,XM_011545030.1;XM_011545029.1;XM_005273994.2;NM_001291902.1;XM_011545031.1;XM_017017736.1;NM_002335.3;XM_017017735.1,AB017498.1;AF077820.1;BC150595.1;BC098397.1;AF064548.1,,Silencer® Select,Inventoried,,s501339
s21499,4392420,APOBEC2,apolipoprotein B mRNA editing enzyme catalytic subunit 2,ARCD1;ARP1,NM_006789.3,AK310006.1;BC069764.1;AK300689.1;AK308197.1;AK223461.1;BC069688.1;BC047767.2;AF161698.1,,Silencer® Select,Inventoried,,s21499
s21507,4390824,PRDX3,peroxiredoxin 3,AOP-1;AOP1;HBC189;MER5;PRO1748;SP-22;prx-III,NM_006793.4;NR_126102.1;NM_001302272.1,CR450344.1;D49396.1;BC111397.1;BG282768.1;BC021691.1;BC007062.1;BC059169.1;AV718278.1;AK130897.1;HY173455.1;BX382389.2;BC009601.1;CD687044.1;EF036492.1;BC022373.1;AK313169.1;AV761690.1;BC002685.1;BT020007.1;BC008435.1,,Silencer® Select,Inventoried,,s21507
s21449,4392420,UTS2,urotensin 2,PRO1068;U-II;UCN2;UII,NM_021995.2;XM_017000116.1;XM_017000117.1;NM_006786.3;XM_017000118.1;XM_017000119.1;XM_011540538.1;XM_011540537.2,AY358375.1;AF140630.1;BC126443.1;BC171734.1;AF104118.1,,Silencer® Select,Inventoried,,s21449
s194768,4392420,RPS19,ribosomal protein S19,DBA;DBA1;S19,NM_001022.3;XM_017027113.1;NM_001321483.1;NM_001321485.1;NM_001321484.1,AK311786.1;BC000023.2;BC018616.1;BM468237.1;BU603942.1;CB125125.1;BG398397.1;M81757.1;AA165492.1;CB124389.1;BC007615.2;BP270469.1;BC017386.1,,Silencer® Select,Inventoried,,s194768
s21006,4392420,GNB5,G protein subunit beta 5,GB5,NM_006578.3;XM_017021867.1;NM_016194.3;XM_011521163.2;XM_011521162.2,AL117471.1;AF300650.1;AK314775.1;AF501885.1;AK290330.1;AK094776.1;BC013997.2;AK125702.1;AF017656.1,,Silencer® Select,Inventoried,,s21006
s20061,4392420,RAMP1,receptor activity modifying protein 1,,XM_017003156.1;NM_001308353.1;XM_017003153.1;XM_017003152.1;NM_005855.3;XM_017003154.1,AJ001014.1;BC000548.2,,Silencer® Select,Inventoried,,s20061
s501351,4392420,PEX13,peroxisomal biogenesis factor 13,NALD;PBD11A;PBD11B;ZWS,NM_002618.3,AB022192.1;U71374.1;AF048755.1;BC067090.1;AK315244.1,,Silencer® Select,Inventoried,,s501351
s20132,4392420,APC2,"APC2, WNT signaling pathway regulator",APCL,NM_005883.2;XM_006722609.3;XM_006722608.3;XM_005259475.2;XM_006722607.2;XM_006722610.3,BC020381.1;AJ012652.1;AB012162.1;AF128222.1;BC032573.1,,Silencer® Select,Inventoried,,s20132
s20016,4392420,POP7,"POP7 homolog, ribonuclease P/MRP subunit",0610037N12Rik;RPP2;RPP20,NM_005837.2,BC001430.2;U94316.1,,Silencer® Select,Inventoried,,s20016
s20867,4392420,POLR3C,RNA polymerase III subunit C,RPC3;RPC62,XM_005272927.3;XM_011509078.2;NM_001303456.1;NM_006468.7;XM_005272928.3,DA816269.1;AK223413.1;BI831011.1;U93867.1;BC004424.1;AY091463.1;BC002586.1,,Silencer® Select,Inventoried,,s20867
s21319,4392420,SLC26A1,solute carrier family 26 member 1,CAON;EDM4;SAT-1;SAT1,NM_213613.3;NM_134425.2;NM_022042.3,AF297659.2;AK292747.1;AY124771.1;BC015517.2,,Silencer® Select,Inventoried,,s21319
s21663,4390824,KIF2C,kinesin family member 2C,CT139;KNSL6;MCAK,NM_006845.3;NM_001297657.1;XM_011540541.2;NM_001297655.1;NM_001297656.1;XM_011540540.2,AK312606.1;BT006759.1;U63743.1;AK300756.1;BC008764.2;AK290688.1;CR450302.1;AB264115.1;AY026505.1;BC032038.1;BC014924.1;AK302267.1,,Silencer® Select,Inventoried,,s21663
s21588,4392420,RAB40B,"RAB40B, member RAS oncogene family",RAR;SEC4L,XM_006722271.3;NM_006822.2;XM_011523528.2;XM_005256334.4;XM_017024042.1;XM_017024043.1,BC018039.1;AL047483.1;AB209711.1;U05227.1,,Silencer® Select,Inventoried,,s21588
s20645,4392420,NEBL,nebulette,LASP2;LNEBL,NM_006393.2;XM_005252344.4;XM_017015467.1;XM_005252343.4;XM_005252342.4;XM_017015468.1;NM_213569.2;XM_011519291.2,BC126132.1;AK294926.1;AK096540.1;AK316521.1;AK295186.1;BC110452.1;Y16241.1;AB209311.1;BC126134.1;BC110453.1;AJ580772.1,,Silencer® Select,Inventoried,,s20645
s19899,4392420,TRIM13,tripartite motif containing 13,CAR;DLEU5;LEU5;RFP2;RNF77,NM_005798.4;NM_213590.2;NM_052811.3;NM_001007278.2,AF220127.1;AK314496.1;BC003579.1;AY455758.1;AJ224819.1;BC063407.1;AY764035.1;AY191002.1;AL360196.1;AF241850.1,,Silencer® Select,Inventoried,,s19899
s21494,4392420,RALBP1,ralA binding protein 1,RIP1;RLIP1;RLIP76,NM_006788.3,L42542.1;AY517554.1;AK300845.1;AB209924.1;BC013126.1,,Silencer® Select,Inventoried,,s21494
s21197,4390824,IQGAP2,IQ motif containing GTPase activating protein 2,,XM_005248410.2;NM_001285462.1;NM_001285461.1;NM_006633.3;XM_011543108.1;NM_001285460.1;XM_005248414.1;XM_017008960.1,AK302981.1;AK302510.1;AK307626.1;AY351902.1;AB208856.1;AK303054.1;U51903.1;AK291066.1,,Silencer® Select,Inventoried,,s21197
s20584,4392420,SEMA6C,semaphorin 6C,SEMAY;m-SemaY;m-SemaY2,NM_030913.4;XM_017000081.1;XM_005244835.3;NM_001178061.1;XM_017000075.1;XM_017000076.1;NM_001178062.1;XM_017000077.1;XM_017000078.1;XM_017000079.1;XM_017000080.1,AF339152.1;BC114623.1;AF339154.1;AK302862.1;AF339153.1;BC114521.1;AK311613.1;AB022434.1;AB058772.1,,Silencer® Select,Inventoried,,s20584
s21480,4392420,SUB1,"SUB1 homolog, transcriptional regulator",P15;PC4;p14,XM_017008987.1;XM_017008986.1;NM_006713.3;XM_011513944.2,AK294124.1;AK311754.1;BC063402.1;U12979.1;BC010537.1;BC018189.1;X79805.1;AB209285.1;BX537584.1;BX472106.1;BC071655.1;CR456902.1;BC009610.1;BC022339.1;BC105972.1,,Silencer® Select,Inventoried,,s21480
